Round 1,,,,,,,,
Pick,Rnd. Pick,Team,Player,Pos.,College,Actual,Notes,
Pick,Rnd. Pick,Team,Player,Position,School,Actual,Notes,
139,1,Minnesota Vikings,Que Robinson,EDGE,Alabama,,-,
140,2,Carolina Panthers,Smael Mondon Jr.,LB,Georgia,,-,
141,3,Tennessee Titans,Rylie Mills,DI,Notre Dame,,-,
142,4,Jacksonville Jaguars,Luke Kandra,G,Cincinnati,,-,
143,5,Las Vegas Raiders,JJ Pegues,DI,Ole Miss,,-,
144,6,New England Patriots,Chase Lundt,T,Connecticut,,-,
145,7,New York Jets,Dylan Fairchild,G,Georgia,,-,
146,8,Carolina Panthers,Tyler Baron,EDGE,Miami (FL),,-,
147,9,San Francisco 49ers,Sai'vion Jones,EDGE,LSU,,-,
148,10,Chicago Bears,Pat Bryant,WR,Illinois,,-,
149,11,Dallas Cowboys,Brashard Smith,HB,SMU,,-,
150,12,Minnesota Vikings,O'Donnell Fortune,CB,South Carolina,,-,
151,13,Indianapolis Colts,Jackson Slater,G,Sacramento State,,-,
152,14,Arizona Cardinals,Ajani Cornelius,T,Oregon,,-,
153,15,Cincinnati Bengals,Cody Simon,LB,Ohio State,,-,
154,16,New York Giants,Antwaun Powell-Ryland,EDGE,Virginia Tech,,-,
155,17,Miami Dolphins,Mitchell Evans,TE,Notre Dame,,-,
156,18,Pittsburgh Steelers,Jaylin Lane,WR,Virginia Tech,,-,
157,19,Tampa Bay Buccaneers,Ahmed Hassanein,EDGE,Boise State,,-,
158,20,Los Angeles Chargers,Kalel Mullings,HB,Michigan,,-,
159,21,Green Bay Packers,Sebastian Castro,S,Iowa,,-,
160,22,San Francisco 49ers,Connor Colby,G,Iowa,,-,
161,23,Philadelphia Eagles,Jackson Hawes,TE,Georgia Tech,,-,
162,24,Las Vegas Raiders,Tyler Cooper,G,Minnesota,,-,
163,25,Carolina Panthers,Jalen Rivers,T,Miami (FL),,-,
164,26,Philadelphia Eagles,Upton Stout,S,Western Kentucky,,-,
165,27,Philadelphia Eagles,Antwane Wells Jr.,WR,Ole Miss,,-,
166,28,Houston Texans,Tyler Batty,EDGE,BYU,,-,
167,29,Tennessee Titans,Dont'e Thornton Jr.,WR,Tennessee,,-,
168,30,Philadelphia Eagles,Tonka Hemingway,DI,South Carolina,,-,
169,31,Buffalo Bills,Simeon Barrow Jr.,DI,Miami (FL),,-,
170,32,Buffalo Bills,Logan Brown,T,Kansas,,-,
171,33,New England Patriots,Caleb Ransaw,S,Tulane,,-,
172,34,Seattle Seahawks,Andrew Armstrong,WR,Arkansas,,-,
173,35,Buffalo Bills,Tyrion Ingram-Dawkins,EDGE,Georgia,,-,
174,36,Dallas Cowboys,Denzel Burke,CB,Ohio State,,-,
175,37,Seattle Seahawks,Alijah Huzzie,CB,North Carolina,,-,
176,38,Baltimore Ravens,Cody Lindenberg,LB,Minnesota,,-,
177,39,Buffalo Bills,Nick Nash,WR,San Jose State,,-,
178,40,Tennessee Titans,Emery Jones,T,LSU,,-,
,,,,,,,,
Round 6,,,,,,,,
Pick,Rnd. Pick,Team,Player,Position,School,Actual,Notes,
179,1,Cleveland Browns,Thomas Fidone II,TE,Nebraska,,-,
180,2,Las Vegas Raiders,Danny Stutsman,LB,Oklahoma,,-,
181,3,Los Angeles Chargers,Tim Smith,DI,Alabama,,-,
182,4,Jacksonville Jaguars,Kobe King,LB,Penn State,,-,
183,5,Baltimore Ravens,Elijhah Badger,WR,Florida,,-,
184,6,Los Angeles Rams,KeAndre Lambert-Smith,WR,Auburn,,-,
185,7,Pittsburgh Steelers,John Williams,T,Cincinnati,,-,
186,8,New York Jets,LaJohntay Wester,WR,Colorado,,-,
187,9,Minnesota Vikings,Benjamin Yurosek,TE,Georgia,,-,
188,10,Tennessee Titans,Bhayshul Tuten,HB,Virginia Tech,,-,
189,11,Indianapolis Colts,Drew Kendall,C,Boston College,,-,
190,12,Los Angeles Rams,Kain Medrano,LB,UCLA,,-,
191,13,Denver Broncos,Robert Longerbeam,CB,Rutgers,,-,
192,14,Cleveland Browns,Miles Frazier,G,LSU,,-,
193,15,Cincinnati Bengals,Tahj Brooks,HB,Texas Tech,,-,
194,16,Jacksonville Jaguars,Jonah Monheim,C,USC,,-,
195,17,New Orleans Saints,Craig Woodson,S,California,,-,
196,18,Seattle Seahawks,Junior Tafuna,DI,Utah,,-,
197,19,Denver Broncos,Malachi Moore,S,Alabama,,-,
198,20,Green Bay Packers,Dillon Gabriel,QB,Oregon,,-,
199,21,Los Angeles Chargers,Jake Majors,C,Texas,,-,
200,22,Cleveland Browns,Hunter Wohler,S,Wisconsin,,-,
201,23,Los Angeles Rams,Dante Trader Jr.,S,Maryland,,-,
202,24,Los Angeles Rams,Clay Webb,G,Jacksonville State,,-,
203,25,Baltimore Ravens,Jack Nelson,T,Wisconsin,,-,
204,26,Dallas Cowboys,Teddye Buchanan,LB,California,,-,
205,27,Washington Commanders,R.J. Oben,EDGE,Notre Dame,,-,
206,28,Buffalo Bills,Kaden Prather,WR,Maryland,,-,
207,29,New York Jets,Jah Joyner,EDGE,Minnesota,,-,
208,30,Denver Broncos,Jay Higgins,LB,Iowa,,-,
209,31,Los Angeles Chargers,Timothy McKay,G,North Carolina State,,-,
210,32,Baltimore Ravens,Will Sheppard,WR,Colorado,,-,
211,33,Dallas Cowboys,Jarquez Hunter,HB,Auburn,,-,
212,34,Baltimore Ravens,Akili Arnold,S,USC,,-,
213,35,Las Vegas Raiders,Kitan Crawford,S,Nevada,,-,
214,36,Los Angeles Chargers,Joshua Gray,G,Oregon State,,-,
215,37,Las Vegas Raiders,Jailin Walker,LB,Indiana,,-,
216,38,Cleveland Browns,Jaylin Smith,CB,USC,,-,
217,39,Dallas Cowboys,Hollin Pierce,T,Rutgers,,-,
218,40,Atlanta Falcons,Samuel Brown,WR,Miami (FL),,-,
,,,,,,,,
Round 7,,,,,,,,
Pick,Rnd. Pick,Team,Player,Position,School,Actual,Notes,
219,1,New York Giants,Raheim Sanders,HB,South Carolina,,-,
220,2,New England Patriots,Cam'Ron Jackson,DI,Florida,,-,
221,3,Jacksonville Jaguars,Kobe Hudson,WR,UCF,,-,
222,4,Las Vegas Raiders,Jimmy Horn Jr.,WR,Colorado,,-,
223,5,Seattle Seahawks,Oronde Gadsden II,TE,Syracuse,,-,
224,6,Miami Dolphins,Cam Horsley,DI,Boston College,,-,
225,7,Arizona Cardinals,Kyle McCord,QB,Syracuse,,-,
226,8,Kansas City Chiefs,Jalin Conyers,TE,Texas Tech,,-,
227,9,San Francisco 49ers,Dean Clark,S,Fresno State,,-,
228,10,Detroit Lions,Ollie Gordon,HB,Oklahoma State,,-,
229,11,Pittsburgh Steelers,Riley Leonard,QB,Notre Dame,,-,
230,12,Carolina Panthers,Marques Sigle,S,Kansas State,,-,
231,13,Miami Dolphins,Traeshon Holden,WR,Oregon,,-,
232,14,Indianapolis Colts,Jake Briningstool,TE,Clemson,,-,
233,15,Chicago Bears,CJ Dippre,TE,Alabama,,-,
234,16,Seattle Seahawks,BJ Adams,CB,UCF,,-,
235,17,Tampa Bay Buccaneers,Luke Lachey,TE,Iowa,,-,
236,18,Houston Texans,Jaylen Reed,S,Penn State,,-,
237,19,Green Bay Packers,Efton Chism III,WR,Eastern Washington,,-,
238,20,New England Patriots,Eugene Asante,LB,Auburn,,-,
239,21,Dallas Cowboys,Jordan Hancock,S,Ohio State,,-,
240,22,Chicago Bears,Jordan James,HB,Oregon,,-,
241,23,Houston Texans,Quinn Ewers,QB,Texas,,-,
242,24,Atlanta Falcons,Carson Vinson,T,Alabama A&M,,-,
243,25,Baltimore Ravens,Ryan Fitzgerald,K,Florida State,,-,
244,26,Detroit Lions,Marcus Wehr,G,Montana State,,-,
245,27,Washington Commanders,Zeek Biggers,DI,Georgia Tech,,-,
246,28,New York Giants,Roc Taylor,WR,Memphis,,-,
247,29,Dallas Cowboys,Johnny Walker Jr.,EDGE,Missouri,,-,
248,30,New Orleans Saints,Mac McWilliams,CB,UCF,,-,
249,31,San Francisco 49ers,Jamon Dumas-Johnson,LB,Kentucky,,-,
250,32,Green Bay Packers,James Marshall Jr.,CB,Florida,,-,
251,33,Kansas City Chiefs,Alijah Clark,S,Syracuse,,-,
252,34,San Francisco 49ers,Kurtis Rourke,QB,Indiana,,-,
253,35,Miami Dolphins,Ethan Downs,EDGE,Oklahoma,,-,
254,36,New Orleans Saints,Tyler Shough,QB,Louisville,,-,
255,37,Cleveland Browns,Jo'Quavious Marks,HB,USC,,-,
256,38,Los Angeles Chargers,Garrett Dellinger,G,LSU,,-,
257,39,Kansas City Chiefs,Konata Mumpfield,WR,Pittsburgh,,-,
